name,price_eur
LG GRAM 17Z90Q-G.AP78G i7 W11P FHD black,1266.53
LG Electronics 17ZB90R Notebook I7 16GB LPDDR4X 512GB SSD schwarz W11P,1226.92
LG Electronics 16ZB90R Notebook I7 16GB LPDDR4X 1TB SSD schwarz W11P,1285.99
LG Electronics 16ZB90R Notebook I7 16GB LPDDR4X 512GB SSD schwarz W11P,1171.09
LG Electronics 17ZB90R Notebook I7 16GB LPDDR4X 1TB SSD schwarz W11P,1319.96
LG Electronics 16T90R-G 2in1 Notebook Tablet Core i7-1360 16GB 1TB W11P,1773.54
Acer Notebook Extensa EX215-55 Intel Core i5-1235U - Stahlgrau,550.45
LG gram 17Z90Q-G.AP79G Core i7 1260P - Evo - 16 GB RAM - 1 TB SSD,1253.98
LG Electronics GRAM 16T90Q-G.AP79G i7 W11P FHD silver,1447.97
