name,price_eur
APPLE MacBook Air Apple M2 Chip 8-Core CPU und 10-Core GPU 8GB gem. RAM 256GB SSD DE - Silber,1459.98
"Apple MacBook Air M2 8 Core, 8 GB, 512 GB SSD",1490.57
APPLE MacBook Air Apple M2 Chip 8-Core CPU und 10-Core GPU 8GB gem. RAM 512GB SSD DE - Mitternacht,1642.69
APPLE MacBook Air Apple M2 Chip 8-Core CPU und 10-Core GPU 8GB gem. RAM 512GB SSD DE - Space Grau,1642.69
Apple Macbook PRO 16 M2 PRO 12C/19C 16GB RAM 1TB SSD - SPACE GREY,2919.84
"Apple MacBook Air (13""",1483.21
Apple MacBook Pro M2 Pro 16GB 512GB silber,2685.47
APPLE MacBook Air Apple M2 Chip 8-Core CPU und 10-Core GPU 8GB gem. RAM 256GB SSD DE - Polarstern,1456.86
"Apple MacBook Air M2 8 Core, 8 GB, 512GB SSD spacegrau",1483.43
Apple MacBook Air Z15S Apple M2 8C CPU/8C GPU/16C N.E. 8GB 256GB SSD Grau,1183.87
"Apple MacBook Air M2 8 Core, 8 GB, 256 GB SSD polarstern",1175.59
"Apple MacBook Air silber, Apple M1, 7 Core GPU, 8GB RAM, 256GB SSD [2020 / Z127] (MGN93D/A",958.99
APPLE MacBook Air Apple M2 Chip 8-Core CPU und 10-Core GPU 8GB gem. RAM 256GB SSD DE - Space Grau,1439.04
APPLE MacBook Air Apple M2 Chip 8-Core CPU und 10-Core GPU 8GB gem. RAM 256GB SSD DE - Mitternacht,1434.13
"Apple MacBook Air Z12A Apple M1 Chip 8C CPU und 7C GPU 16C N.E. 16GB 256GB SSD, gold",1215.41
Apple Macbook Air 13 M2 CHIP 8C/8C 8GB RAM 512GB 30W MIDNIGHT,1598.37
Apple MacBook Pro 16 M2 MAX 12C/38C 64GB RAM 1TB SSD - GREY,4818.05
Apple Macbook Pro 16 M2 PRO 12C/19C,3856.34
Apple Macbook AIR 13 M2 CHIP 8C/10C,3067.31
APPLE MACBOOK AIR 13 M2 CHIP 8C/10C,1857.88
APPLE MACBOOK AIR 15 M2 8C/10C/16C 8GB RAM 2TB,2633.26
Apple MacBook Air Z127 Apple M1 Chip 8C CPU und 7C GPU 16C N.E. 8GB 256GB SSD EN int - silber,1008.99
Apple Macbook Air 13 M2 CHIP 8C/8C 16GB RAM 512GB 30W starlight,1838.8
Apple Macbook Air 13 M2 CHIP 8C/10C 16GB RAM 1TB 67W SPACE GREY,2204.67
Notebook Apple Macbook Pro 14 M2 PRO 10C/16C,3243.67
Apple Macbook PRO 16 M2 PRO 12C/19C 16GB RAM 512GB SSD - SPACE GREY,2729.64
Apple MacBook Air Z15T Apple M2 8C CPU/10C GPU/16C N.E. 24GB 1TB SSD 35W Dual USB-C DE - Grau,2182.57
